"Name","Postsecondary Enrollment"
"Description","The postsecondary enrollment rate shows the percentage of students who graduated and enrolled in a two- or four-year college, vocational program, approved apprenticeship or public service
<strong>within 6 or 18 months</strong> of their scheduled graduation date. For the 2019-20 data, the 6 month rate evaluates students who first entered high school during the 2015-16 school year / &ldquo;Class of 2019&rdquo;; the 18 month rate evaluates students who first entered high school during the 2014-15
school year / &ldquo;Class of 2018&rdquo;.<br />
<br />
CCC's analysis represents the&nbsp;<strong><em>average&nbsp;</em></strong>postsecondary enrollment rate from all high schools (public and charter) within a given geography."
"Source Notes","CCC analysis of New York City Department of Education, School Quality Report Results for high schools (school years 2015-16 to 2019-20); retrieved from&nbsp;<a href=""https://infohub.nyced.org/reports/school-quality/school-quality-reports-and-resources/school-quality-report-citywide-data"" target=""_blank"">https://infohub.nyced.org/reports/school-quality/school-quality-reports-and-resources/school-quality-report-citywide-data</a>."
"Notes",""

Location,Total,TimeFrame,DataFormat,Data,Fips
Borough Park,Within 6 months,2017,Percent,0.66,312
Coney Island,Within 6 months,2017,Percent,0.55,313
Flatbush/Midwood,Within 6 months,2017,Percent,0.56,314
Sheepshead Bay,Within 6 months,2017,Percent,0.7,315
Brownsville,Within 6 months,2017,Percent,0.48,316
East Flatbush,Within 6 months,2017,Percent,0.51,317
Canarsie,Within 6 months,2017,Percent,0.51,318
Astoria,Within 6 months,2017,Percent,0.72,401
Sunnyside/Woodside,Within 6 months,2017,Percent,0.74,402
Jackson Heights,Within 6 months,2017,Percent,0.71,403
Elmhurst/Corona,Within 6 months,2017,Percent,0.57,404
Ridgewood/Glendale,Within 6 months,2017,Percent,0.63,405
Rego Park/Forest Hills,Within 6 months,2017,Percent,0.78,406
Flushing,Within 6 months,2017,Percent,0.65,407
Fresh Meadows/Briarwood,Within 6 months,2017,Percent,0.73,408
Woodhaven,Within 6 months,2017,Percent,0.62,409
Howard Beach,Within 6 months,2017,Percent,0.55,410
Bayside,Within 6 months,2017,Percent,0.8,411
Jamaica/St. Albans,Within 6 months,2017,Percent,0.63,412
Queens Village,Within 6 months,2017,Percent,0.52,413
The Rockaways,Within 6 months,2017,Percent,0.48,414
St. George,Within 6 months,2017,Percent,0.38,501
South Beach,Within 6 months,2017,Percent,0.74,502
Tottenville,Within 6 months,2017,Percent,0.62,503
Bronx,Within 6 months,2017,Percent,0.53,36005
Brooklyn,Within 6 months,2017,Percent,0.56,36047
Manhattan,Within 6 months,2017,Percent,0.64,36061
Queens,Within 6 months,2017,Percent,0.66,36081
Staten Island,Within 6 months,2017,Percent,0.62,36085
New York City,Within 6 months,2017,Percent,0.59,3651000
Lower East Side,Within 6 months,2018,Percent,0.75,SD1
"Stuyvesant Town, Upper E. Side",Within 6 months,2018,Percent,0.68,SD2
Upper West Side,Within 6 months,2018,Percent,0.63,SD3
East Harlem,Within 6 months,2018,Percent,0.69,SD4
Central Harlem,Within 6 months,2018,Percent,0.72,SD5
Washington Heights,Within 6 months,2018,Percent,0.6,SD6
Mott Haven,Within 6 months,2018,Percent,0.58,SD7
"Hunts Point, Port Morris",Within 6 months,2018,Percent,0.46,SD8
"East Tremont, Morris Heights",Within 6 months,2018,Percent,0.58,SD9
"Riverdale, Kingsbridge, Fordham",Within 6 months,2018,Percent,0.62,SD10
"Eastchester, Baychester, Co-op City",Within 6 months,2018,Percent,0.56,SD11
"Crotona Park, Morrisania, Melrose",Within 6 months,2018,Percent,0.52,SD12
"Brooklyn Hts, Downtown Brooklyn",Within 6 months,2018,Percent,0.66,SD13
"Williamsburg, Greenpoint",Within 6 months,2018,Percent,0.57,SD14
"S. Brooklyn, Park Slope, Sunset Park",Within 6 months,2018,Percent,0.64,SD15
Bedford Stuyvesant,Within 6 months,2018,Percent,0.49,SD16
Crown Heights,Within 6 months,2018,Percent,0.62,SD17
"East Flatbush, Canarsie",Within 6 months,2018,Percent,0.53,SD18
East New York,Within 6 months,2018,Percent,0.49,SD19
"Bay Ridge, Bensonhurst",Within 6 months,2018,Percent,0.65,SD20
"Gravesend, Coney Island",Within 6 months,2018,Percent,0.59,SD21
"Flatbush, Midwood, Sheepshead Bay",Within 6 months,2018,Percent,0.68,SD22
"Brownsville, Ocean Hill",Within 6 months,2018,Percent,0.45,SD23
"Sunnyside, Woodside, Jackson Hts",Within 6 months,2018,Percent,0.68,SD24
"Flushing, Whitestone",Within 6 months,2018,Percent,0.72,SD25
"Bayside, Douglaston, Little Neck",Within 6 months,2018,Percent,0.74,SD26
"Jamaica, Howard Beach, Rockaways",Within 6 months,2018,Percent,0.58,SD27
"Jamaica, Forest Hills",Within 6 months,2018,Percent,0.74,SD28
"Queens Village, Rosedale, Hollis",Within 6 months,2018,Percent,0.57,SD29
"Long Island City, Astoria",Within 6 months,2018,Percent,0.71,SD30
Staten Island,Within 6 months,2018,Percent,0.66,SD31
Bushwick,Within 6 months,2018,Percent,0.57,SD32
Battery Park/Tribeca,Within 6 months,2018,Percent,0.64,101
Greenwich Village,Within 6 months,2018,Percent,0.63,102
Lower East Side,Within 6 months,2018,Percent,0.73,103
Chelsea/Clinton,Within 6 months,2018,Percent,0.68,104
Midtown Business District,Within 6 months,2018,Percent,0.71,105
Murray Hill/Stuyvesant,Within 6 months,2018,Percent,0.7,106
Upper West Side,Within 6 months,2018,Percent,0.68,107
Upper East Side,Within 6 months,2018,Percent,0.65,108
Manhattanville,Within 6 months,2018,Percent,0.7,109
Central Harlem,Within 6 months,2018,Percent,0.64,110
East Harlem,Within 6 months,2018,Percent,0.71,111
Washington Heights,Within 6 months,2018,Percent,0.57,112
Mott Haven,Within 6 months,2018,Percent,0.58,201
Hunts Point,Within 6 months,2018,Percent,0.5,202
Morrisania,Within 6 months,2018,Percent,0.55,203
Concourse/Highbridge,Within 6 months,2018,Percent,0.58,204
University Heights,Within 6 months,2018,Percent,0.64,205
East Tremont,Within 6 months,2018,Percent,0.59,206
Bedford Park,Within 6 months,2018,Percent,0.56,207
Riverdale,Within 6 months,2018,Percent,0.69,208
Unionport/Soundview,Within 6 months,2018,Percent,0.44,209
Throgs Neck,Within 6 months,2018,Percent,0.54,210
Pelham Parkway,Within 6 months,2018,Percent,0.61,211
Williamsbridge,Within 6 months,2018,Percent,0.49,212
Williamsburg/Greenpoint,Within 6 months,2018,Percent,0.57,301
Fort Greene/Brooklyn Hts,Within 6 months,2018,Percent,0.65,302
Bedford Stuyvesant,Within 6 months,2018,Percent,0.57,303
Bushwick,Within 6 months,2018,Percent,0.57,304
East New York,Within 6 months,2018,Percent,0.49,305
Park Slope,Within 6 months,2018,Percent,0.62,306
Sunset Park,Within 6 months,2018,Percent,0.75,307
Crown Heights North,Within 6 months,2018,Percent,0.69,308
Crown Heights South,Within 6 months,2018,Percent,0.6,309
Bay Ridge,Within 6 months,2018,Percent,0.65,310
Bensonhurst,Within 6 months,2018,Percent,0.67,311
Borough Park,Within 6 months,2018,Percent,0.65,312
Coney Island,Within 6 months,2018,Percent,0.58,313
Flatbush/Midwood,Within 6 months,2018,Percent,0.61,314
Sheepshead Bay,Within 6 months,2018,Percent,0.66,315
Brownsville,Within 6 months,2018,Percent,0.45,316
East Flatbush,Within 6 months,2018,Percent,0.47,317
Canarsie,Within 6 months,2018,Percent,0.56,318
Astoria,Within 6 months,2018,Percent,0.7,401
Sunnyside/Woodside,Within 6 months,2018,Percent,0.76,402
Jackson Heights,Within 6 months,2018,Percent,0.74,403
Elmhurst/Corona,Within 6 months,2018,Percent,0.56,404
Ridgewood/Glendale,Within 6 months,2018,Percent,0.62,405
Rego Park/Forest Hills,Within 6 months,2018,Percent,0.74,406
Flushing,Within 6 months,2018,Percent,0.63,407
Fresh Meadows/Briarwood,Within 6 months,2018,Percent,0.74,408
Woodhaven,Within 6 months,2018,Percent,0.7,409
Howard Beach,Within 6 months,2018,Percent,0.6,410
Bayside,Within 6 months,2018,Percent,0.85,411
Jamaica/St. Albans,Within 6 months,2018,Percent,0.64,412
Queens Village,Within 6 months,2018,Percent,0.53,413
The Rockaways,Within 6 months,2018,Percent,0.58,414
St. George,Within 6 months,2018,Percent,0.5,501
South Beach,Within 6 months,2018,Percent,0.73,502
Tottenville,Within 6 months,2018,Percent,0.67,503
Bronx,Within 6 months,2018,Percent,0.56,36005
Brooklyn,Within 6 months,2018,Percent,0.59,36047
Manhattan,Within 6 months,2018,Percent,0.68,36061
Queens,Within 6 months,2018,Percent,0.67,36081
Staten Island,Within 6 months,2018,Percent,0.66,36085
New York City,Within 6 months,2018,Percent,0.62,3651000
Lower East Side,Within 6 months,2019,Percent,0.79,SD1
"Stuyvesant Town, Upper E. Side",Within 6 months,2019,Percent,0.71,SD2
Upper West Side,Within 6 months,2019,Percent,0.69,SD3
East Harlem,Within 6 months,2019,Percent,0.74,SD4
Central Harlem,Within 6 months,2019,Percent,0.73,SD5
Washington Heights,Within 6 months,2019,Percent,0.65,SD6
Mott Haven,Within 6 months,2019,Percent,0.62,SD7
"Hunts Point, Port Morris",Within 6 months,2019,Percent,0.49,SD8
"East Tremont, Morris Heights",Within 6 months,2019,Percent,0.58,SD9
"Riverdale, Kingsbridge, Fordham",Within 6 months,2019,Percent,0.65,SD10
"Eastchester, Baychester, Co-op City",Within 6 months,2019,Percent,0.56,SD11
"Crotona Park, Morrisania, Melrose",Within 6 months,2019,Percent,0.51,SD12
"Brooklyn Hts, Downtown Brooklyn",Within 6 months,2019,Percent,0.68,SD13
"Williamsburg, Greenpoint",Within 6 months,2019,Percent,0.62,SD14
"S. Brooklyn, Park Slope, Sunset Park",Within 6 months,2019,Percent,0.67,SD15
Bedford Stuyvesant,Within 6 months,2019,Percent,0.57,SD16
Crown Heights,Within 6 months,2019,Percent,0.63,SD17
"East Flatbush, Canarsie",Within 6 months,2019,Percent,0.54,SD18
East New York,Within 6 months,2019,Percent,0.51,SD19
"Bay Ridge, Bensonhurst",Within 6 months,2019,Percent,0.7,SD20
"Gravesend, Coney Island",Within 6 months,2019,Percent,0.62,SD21
"Flatbush, Midwood, Sheepshead Bay",Within 6 months,2019,Percent,0.79,SD22
"Brownsville, Ocean Hill",Within 6 months,2019,Percent,0.54,SD23
"Sunnyside, Woodside, Jackson Hts",Within 6 months,2019,Percent,0.73,SD24
"Flushing, Whitestone",Within 6 months,2019,Percent,0.74,SD25
"Bayside, Douglaston, Little Neck",Within 6 months,2019,Percent,0.77,SD26
"Jamaica, Howard Beach, Rockaways",Within 6 months,2019,Percent,0.61,SD27
"Jamaica, Forest Hills",Within 6 months,2019,Percent,0.77,SD28
"Queens Village, Rosedale, Hollis",Within 6 months,2019,Percent,0.62,SD29
"Long Island City, Astoria",Within 6 months,2019,Percent,0.76,SD30
Staten Island,Within 6 months,2019,Percent,0.74,SD31
Bushwick,Within 6 months,2019,Percent,0.58,SD32
Battery Park/Tribeca,Within 6 months,2019,Percent,0.71,101
Greenwich Village,Within 6 months,2019,Percent,0.68,102
Lower East Side,Within 6 months,2019,Percent,0.73,103
Chelsea/Clinton,Within 6 months,2019,Percent,0.7,104
Midtown Business District,Within 6 months,2019,Percent,0.73,105
Murray Hill/Stuyvesant,Within 6 months,2019,Percent,0.72,106
Upper West Side,Within 6 months,2019,Percent,0.69,107
Upper East Side,Within 6 months,2019,Percent,0.69,108
Manhattanville,Within 6 months,2019,Percent,0.77,109
Central Harlem,Within 6 months,2019,Percent,0.71,110
East Harlem,Within 6 months,2019,Percent,0.73,111
Washington Heights,Within 6 months,2019,Percent,0.62,112
Mott Haven,Within 6 months,2019,Percent,0.62,201
Hunts Point,Within 6 months,2019,Percent,0.57,202
Morrisania,Within 6 months,2019,Percent,0.57,203
Concourse/Highbridge,Within 6 months,2019,Percent,0.6,204
University Heights,Within 6 months,2019,Percent,0.63,205
East Tremont,Within 6 months,2019,Percent,0.59,206
Bedford Park,Within 6 months,2019,Percent,0.61,207
Riverdale,Within 6 months,2019,Percent,0.7,208
Unionport/Soundview,Within 6 months,2019,Percent,0.46,209
Throgs Neck,Within 6 months,2019,Percent,0.57,210
Pelham Parkway,Within 6 months,2019,Percent,0.61,211
Williamsbridge,Within 6 months,2019,Percent,0.52,212
Williamsburg/Greenpoint,Within 6 months,2019,Percent,0.62,301
Fort Greene/Brooklyn Hts,Within 6 months,2019,Percent,0.68,302
Bedford Stuyvesant,Within 6 months,2019,Percent,0.61,303
Bushwick,Within 6 months,2019,Percent,0.58,304
East New York,Within 6 months,2019,Percent,0.51,305
Park Slope,Within 6 months,2019,Percent,0.64,306
Sunset Park,Within 6 months,2019,Percent,0.78,307
Crown Heights North,Within 6 months,2019,Percent,0.62,308
Crown Heights South,Within 6 months,2019,Percent,0.63,309
Bay Ridge,Within 6 months,2019,Percent,0.74,310
Bensonhurst,Within 6 months,2019,Percent,0.65,311
Borough Park,Within 6 months,2019,Percent,0.69,312
Coney Island,Within 6 months,2019,Percent,0.61,313
Flatbush/Midwood,Within 6 months,2019,Percent,0.68,314
Sheepshead Bay,Within 6 months,2019,Percent,0.79,315
Brownsville,Within 6 months,2019,Percent,0.54,316
East Flatbush,Within 6 months,2019,Percent,0.56,317
Canarsie,Within 6 months,2019,Percent,0.52,318
Astoria,Within 6 months,2019,Percent,0.75,401
Sunnyside/Woodside,Within 6 months,2019,Percent,0.8,402
Jackson Heights,Within 6 months,2019,Percent,0.87,403
Elmhurst/Corona,Within 6 months,2019,Percent,0.65,404
Ridgewood/Glendale,Within 6 months,2019,Percent,0.65,405
Rego Park/Forest Hills,Within 6 months,2019,Percent,0.79,406
Flushing,Within 6 months,2019,Percent,0.68,407
Fresh Meadows/Briarwood,Within 6 months,2019,Percent,0.75,408
Woodhaven,Within 6 months,2019,Percent,0.72,409
Howard Beach,Within 6 months,2019,Percent,0.64,410
Bayside,Within 6 months,2019,Percent,0.82,411
Jamaica/St. Albans,Within 6 months,2019,Percent,0.65,412
Queens Village,Within 6 months,2019,Percent,0.67,413
The Rockaways,Within 6 months,2019,Percent,0.6,414
St. George,Within 6 months,2019,Percent,0.53,501
South Beach,Within 6 months,2019,Percent,0.83,502
Tottenville,Within 6 months,2019,Percent,0.74,503
Bronx,Within 6 months,2019,Percent,0.58,36005
Brooklyn,Within 6 months,2019,Percent,0.62,36047
Manhattan,Within 6 months,2019,Percent,0.71,36061
Queens,Within 6 months,2019,Percent,0.71,36081
Staten Island,Within 6 months,2019,Percent,0.74,36085
New York City,Within 6 months,2019,Percent,0.65,3651000
Lower East Side,Within 6 months,2020,Percent,0.84,SD1
"Stuyvesant Town, Upper E. Side",Within 6 months,2020,Percent,0.71,SD2
Upper West Side,Within 6 months,2020,Percent,0.66,SD3
East Harlem,Within 6 months,2020,Percent,0.72,SD4
